,Tokens,Occurences
417,accrual,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
418,ltd,"[('1Amy.txt', 2), ('2Ben.txt', 5), ('3Carrie.txt', 4)]"
419,word,"[('1Amy.txt', 8), ('2Ben.txt', 4), ('3Carrie.txt', 4)]"
420,day,"[('1Amy.txt', 2), ('3Carrie.txt', 1)]"
421,fellow,"[('1Amy.txt', 1)]"
422,verifi,"[('2Ben.txt', 3)]"
423,comput,"[('3Carrie.txt', 3)]"
424,abil,"[('3Carrie.txt', 1)]"
425,peng,"[('2Ben.txt', 1)]"
426,portag,"[('2Ben.txt', 1)]"
427,complet,"[('2Ben.txt', 1), ('3Carrie.txt', 3)]"
428,oct,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 2)]"
429,14,"[('3Carrie.txt', 1)]"
430,user,"[('3Carrie.txt', 2)]"
431,kaplan,"[('3Carrie.txt', 1)]"
432,debt,"[('1Amy.txt', 1)]"
433,result,"[('1Amy.txt', 1), ('2Ben.txt', 2)]"
434,l,"[('2Ben.txt', 2)]"
435,fund,"[('1Amy.txt', 6), ('2Ben.txt', 5), ('3Carrie.txt', 7)]"
436,yong,"[('2Ben.txt', 1)]"
437,unifi,"[('2Ben.txt', 1)]"
438,written,"[('1Amy.txt', 1), ('3Carrie.txt', 2)]"
439,meet,"[('1Amy.txt', 1)]"
440,malaysia,"[('2Ben.txt', 1)]"
441,arm,"[('1Amy.txt', 1)]"
442,member,"[('2Ben.txt', 1)]"
443,custom,"[('3Carrie.txt', 2)]"
444,econom,"[('1Amy.txt', 1), ('2Ben.txt', 1)]"
445,profici,"[('1Amy.txt', 1), ('2Ben.txt', 1), ('3Carrie.txt', 2)]"
446,work,"[('1Amy.txt', 2), ('2Ben.txt', 6), ('3Carrie.txt', 2)]"
447,support,"[('2Ben.txt', 5)]"
448,record,"[('2Ben.txt', 1)]"
449,bring,"[('3Carrie.txt', 1)]"
450,aspos,"[('1Amy.txt', 8), ('2Ben.txt', 4), ('3Carrie.txt', 4)]"
451,secretari,"[('3Carrie.txt', 1)]"
452,financ,"[('1Amy.txt', 1), ('2Ben.txt', 2), ('3Carrie.txt', 1)]"
453,window,"[('3Carrie.txt', 1)]"
454,300,"[('3Carrie.txt', 1)]"
455,entri,"[('1Amy.txt', 1)]"
456,queri,"[('2Ben.txt', 1), ('3Carrie.txt', 1)]"
457,summit,"[('2Ben.txt', 1)]"
458,travel,"[('2Ben.txt', 1)]"
459,privat,"[('1Amy.txt', 1)]"
460,replic,"[('3Carrie.txt', 1)]"
461,act,"[('1Amy.txt', 1)]"
462,brinckerhoff,"[('3Carrie.txt', 1)]"
463,aexeo,"[('1Amy.txt', 1)]"
464,involv,"[('1Amy.txt', 1)]"
465,soldier,"[('1Amy.txt', 1)]"
466,copi,"[('1Amy.txt', 3), ('2Ben.txt', 1), ('3Carrie.txt', 1)]"
467,plan,"[('3Carrie.txt', 1)]"
468,asset,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
469,extern,"[('1Amy.txt', 2), ('2Ben.txt', 1)]"
470,relat,"[('2Ben.txt', 2), ('3Carrie.txt', 1)]"
471,500,"[('3Carrie.txt', 2)]"
472,bachelor,"[('1Amy.txt', 1), ('3Carrie.txt', 1)]"
473,valu,"[('2Ben.txt', 1), ('3Carrie.txt', 2)]"
474,48,"[('3Carrie.txt', 1)]"
